Timestamp,Teaching_Learning_Process,Curriculum_Relevance,Infrastructure_Facilities,Library_Resources,Laboratory_Facilities,IT_Infrastructure,Student_Support_Services,Administrative_Efficiency,Extracurricular_Activities,Research_Promotion,Gender_Sensitivity,Environmental_Consciousness
2025-03-18T12:59:32.425877,3,3.0,3.632147177570567,3.317808306209548,2,2.463318599732302,3.3,2.4,3,4,4.0,3.2239985764186456
2024-06-19T04:44:24.240102,3,4.0,3.1911325506733146,3.429929560066552,4,4,2.3,1.3,2,2.965578873649213,3.5,3.9281465329152487
2024-07-02T03:24:49.419870,4,4.0,2.3314455790783555,2.640505599291176,3,2.3171190503215064,2.9,2.7,2,4,3.5,3.7090216566021863
2024-06-18T19:26:18.941563,3,4.0,3.7101273448360432,2.645373881957541,2,2.286943886423702,3.7,2.4,4,3.197452513720671,3.5,3.3975079550347607
2024-09-09T18:03:49.808630,4,3.0,3.1930632023312002,2.848392949481257,3,2.338920511824222,3.7,2.1,4,2.7986578684449603,4.0,3.5252220062151656
2025-02-13T15:27:50.265038,3,3.5,2.7984567478248215,3.9187198779071255,2,2.5671853337374406,3.2,2.5,3,2.455185133641085,4.0,3.9157028363223736
2024-05-12T10:16:00.036821,3,3.0,4,3.8829663371530154,3,2.741826828037603,2.8,2.9,3,2.779549080507075,3.5,3.4868276406035466
2024-12-20T03:01:55.275806,3,4.0,2.5738383527674795,3.545367594064209,4,2.176292976829518,3.4,2.5,4,3.6534440383692917,4.0,3.284818948049149
2024-04-06T23:48:54.353905,2,4.0,3.798752073895575,3.1172073486177316,4,4,3.5,2.3,4,1.192070373962729,3.5,3.634571432552704
2024-06-27T14:15:10.479863,3,3.5,3.630351951662109,2.7171837394634735,3,2.1925511497663437,3.0,2.4,4,1.45832508600519,3.5,3.2778455450244834
2024-04-26T21:45:17.956043,3,4.0,2.4104668253657655,3.3571168559359896,2,2.3998201556341514,3.2,2.2,4,1.5469413944402282,4.0,3.6247382624357702
2024-10-16T01:42:54.031534,4,4.0,4,3.9342337494760082,3,3.581533172721103,2.6,1.3,2,3.5808548199277737,3.5,3.695059998201715
2024-11-28T19:48:18.419463,2,3.0,4,3.6382128674205783,4,2.509459414113512,3.2,1.1,4,3.5986253588181203,3.5,3.644905786327229
2024-12-18T19:21:12.651094,3,4.0,4,3.5389145559122284,2,2.6210789223545183,3.3,1.7,3,0.6497490302236564,3.5,3.186303681850954
2025-02-21T08:51:10.743743,3,3.5,2.081099940652277,2.5276543723722056,2,2.740550790334851,3.4,1.6,3,3.4704288258984763,3.5,3.019201123317065
2024-11-10T14:45:03.800883,3,3.0,4,3.3547696573766697,3,2.2502937234338254,3.2,2.3,2,2.6685130374146007,3.5,3.2793333287844484
2025-02-18T22:21:21.015277,4,3.5,2.047491419852376,3.334489820640966,2,2.291026180920796,2.6,3.8,3,2.4796516151055013,3.5,3.5926775520540004
2024-08-06T05:42:55.821590,3,4.0,4,3.415813753373825,4,2.167795101408582,3.0,1.5,4,4,3.5,3.881336280157927
2024-05-31T22:45:48.819090,4,4.0,1.9270226036510418,2.815166467558902,2,2.6594040689374956,3.0,0.6,3,4,4.0,3.7098645724497485
2025-02-22T23:20:50.858617,2,3.5,2.512335834102532,2.8706271170471815,2,3.3941530455809836,3.6,1.6,3,4,3.5,3.043348407081152
2024-06-26T04:47:37.520884,2,3.5,3.087355479167133,3.561521354525884,3,2.288702904009847,2.9,3.1,4,1.4530202701626027,4.0,3.634788291583148
2024-09-16T06:06:02.089023,5,3.5,3.212279224865521,3.021386020002802,2,3.5006863496408673,3.2,1.2,4,2.7698895630016165,3.5,3.6580540956261562
2025-03-21T22:48:29.414890,2,3.0,3.568062785928662,3.7031640823448297,4,4,3.2,0.8,3,3.3760224042089355,3.5,3.9486682159437323
2024-12-14T22:30:03.488115,2,3.0,3.2571792372004174,3.923243359246825,2,2.3891509068920405,3.2,0.3,4,3.2836984648204033,3.5,3.5350588497224016
2024-05-08T01:27:10.766088,2,4.0,4,3.1122836809947367,2,2.4504192593475937,2.9,2.5,4,4,3.5,3.40941545852136
2024-05-21T06:30:38.072043,2,3.0,1.350048881301761,3.752244681423971,3,3.358975471593049,3.3,1.9,4,4,3.5,3.0449824336376845
2025-01-11T02:43:44.008662,3,3.5,4,3.790824326155616,2,2.6226391925552974,3.0,0.2,4,2.428196534015001,3.5,3.0578663971478925
2024-06-19T22:56:34.348446,3,3.5,2.559173219217999,3.762637233101402,2,2.8287157402596543,2.6,2.0,4,2.3470698853066883,4.0,3.4575946857457436
2025-03-16T21:35:59.654753,3,4.0,4,3.6018078901903072,4,4,3.0,2.5,2,4,3.5,3.7171881415931107
2025-03-25T07:33:36.925683,3,3.0,2.8292375388900366,2.899998186935836,3,4,3.8,3.1,3,3.160459538851891,3.5,3.6181977241158867
2024-08-24T19:28:14.046592,3,3.0,4,2.939100152571937,4,2.456848057820407,3.5,3.6,4,2.3497272713465285,3.5,3.0199581640572637
2024-08-27T04:17:20.446532,4,4.0,2.9052263752137613,3.365924074207916,4,4,3.5,2.7,2,3.1804839772929507,4.0,3.059145054430522
2024-11-02T06:00:20.595989,4,3.5,3.6719172090929377,2.679209672429081,4,2.071602947741958,3.7,1.8,4,2.677160868826064,4.0,3.408480709902639
2024-09-26T21:36:35.748245,4,3.0,2.473838957875963,2.5897628095916,3,2.131540879105087,3.3,2.7,2,3.2515127611736756,3.5,3.2712257841413477
2025-03-27T01:05:05.867845,5,4.0,2.78310812441913,3.143233203637622,4,2.021159953975656,2.9,2.9,3,4,3.5,3.4693467229491586
